<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
R-Vision 2;60;20251101;100000;115.66;115.67;115.18;115.67;24;0
R-Vision 2;60;20251101;110000;115.31;115.58;114.37;115.03;46;0
R-Vision 2;60;20251101;120000;115.56;115.88;115.55;115.88;149;0
R-Vision 2;60;20251101;130000;115.88;117;115.71;116.89;241;0
R-Vision 2;60;20251101;140000;116.88;116.9;116.86;116.86;19;0
R-Vision 2;60;20251101;150000;116.86;116.9;116.36;116.9;157;0
R-Vision 2;60;20251101;160000;116.9;116.9;116.89;116.89;42;0
R-Vision 2;60;20251101;170000;116.89;116.9;116.89;116.9;177;0
R-Vision 2;60;20251101;180000;116.9;116.9;116;116;354;0
R-Vision 2;60;20251101;190000;116.01;116.01;116.01;116.01;1;0
R-Vision 2;60;20251101;200000;116.88;116.89;116.88;116.89;3;0
R-Vision 2;60;20251101;210000;116.89;116.9;115.68;116.9;150;0
R-Vision 2;60;20251101;220000;115.71;116.89;115.71;116.89;2;0
R-Vision 2;60;20251101;230000;115.88;115.88;115.88;115.88;2;0
R-Vision 2;60;20251103;100000;115.3;116.89;115.3;115.59;22;0
R-Vision 2;60;20251103;110000;116.7;116.9;116.7;116.9;23;0
R-Vision 2;60;20251103;120000;116.89;116.9;116.89;116.9;70;0
R-Vision 2;60;20251103;130000;116.9;116.9;116.71;116.9;107;0
R-Vision 2;60;20251103;140000;116.9;116.9;116.9;116.9;60;0
R-Vision 2;60;20251103;150000;116.9;116.9;116.9;116.9;5;0
R-Vision 2;60;20251103;160000;116.9;116.9;116.72;116.89;112;0
R-Vision 2;60;20251103;170000;116.72;116.89;116.7;116.89;345;0
R-Vision 2;60;20251103;180000;116.7;116.7;115.94;115.94;48;0
R-Vision 2;60;20251103;190000;116.81;116.82;115.69;116.81;21;0
R-Vision 2;60;20251103;200000;116.79;116.79;116.79;116.79;1;0
R-Vision 2;60;20251103;210000;116.19;116.76;116.19;116.76;2;0
R-Vision 2;60;20251103;230000;116.75;116.75;116.75;116.75;2;0
R-Vision 2;60;20251105;100000;116.75;116.75;114.21;115.06;710;0
R-Vision 2;60;20251105;110000;115.61;116.85;115.61;116.85;335;0
R-Vision 2;60;20251105;120000;116.85;116.85;116.85;116.85;16;0
